DRUG_ID,COSMIC_ID,TCGA_DESC,Label,Pred
1084,909255,UNCLASSIFIED,-4.75034,-3.090276002883911
2109,906853,UNCLASSIFIED,5.667806,4.809175491333008
2040,907322,UNCLASSIFIED,2.082331,0.9657378792762756
1627,1298352,UNCLASSIFIED,5.41378,6.046395301818848
1549,724831,UNCLASSIFIED,4.717477,4.571483612060547
1511,1240128,UNCLASSIFIED,-1.286472,-0.9168904423713684
1614,1240221,UNCLASSIFIED,2.943233,2.7923364639282227
1931,909977,UNCLASSIFIED,6.198902,6.319360256195068
1237,907060,UNCLASSIFIED,4.146943,4.473209381103516
1873,909720,UNCLASSIFIED,1.421396,1.2788211107254028
1180,687829,UNCLASSIFIED,-2.803489,-1.208427906036377
1563,908138,UNCLASSIFIED,6.537797,6.152512550354004
1073,907050,UNCLASSIFIED,7.666173,7.241605758666992
1268,906861,UNCLASSIFIED,5.440873,4.249696731567383
1093,1331040,UNCLASSIFIED,2.467258,2.586754083633423
1916,910906,UNCLASSIFIED,3.875388,2.93912672996521
1054,684059,UNCLASSIFIED,1.918923,3.4515135288238525
1936,910706,UNCLASSIFIED,0.682102,1.169319748878479
1613,909262,UNCLASSIFIED,0.97694,1.113074541091919
1051,925345,UNCLASSIFIED,2.79037,2.2504258155822754
1003,684062,UNCLASSIFIED,-4.372936,-3.606090784072876
1629,1331040,UNCLASSIFIED,2.977582,2.0710620880126953
1917,907273,UNCLASSIFIED,-0.884797,0.4039880037307739
1083,906849,UNCLASSIFIED,4.027243,2.6112382411956787
1084,908131,UNCLASSIFIED,-2.744228,-2.8150861263275146
1909,905973,UNCLASSIFIED,2.166299,1.9454841613769531
1084,1298219,UNCLASSIFIED,0.297708,-1.415452003479004
1873,906999,UNCLASSIFIED,1.631319,2.3459062576293945
1191,906804,UNCLASSIFIED,-5.193107,-4.795568943023682
1248,910706,UNCLASSIFIED,-7.157177,-7.06908655166626
1168,724831,UNCLASSIFIED,3.832673,3.4981884956359863
1626,909701,UNCLASSIFIED,1.1491,0.9871699810028076
2107,1240210,UNCLASSIFIED,4.493572,4.467989921569824
1249,949164,UNCLASSIFIED,2.275649,2.561999797821045
1930,909776,UNCLASSIFIED,1.013173,0.34581977128982544
2046,909699,UNCLASSIFIED,5.823349,5.041959762573242
1177,909976,UNCLASSIFIED,2.896935,3.5025746822357178
1032,908136,UNCLASSIFIED,2.060299,0.854836106300354
1576,1298539,UNCLASSIFIED,3.870348,3.7066593170166016
1618,1240210,UNCLASSIFIED,2.879726,2.4774909019470215
2048,907298,UNCLASSIFIED,-2.454248,-4.010152816772461
1250,907796,UNCLASSIFIED,2.06628,1.720844030380249
1012,924186,UNCLASSIFIED,1.378592,1.226198434829712
1625,909731,UNCLASSIFIED,3.876258,3.7466821670532227
